id,label,name
family-A,CapabilityFamily,task_entry_attention_and_engagement_routines
family-C,CapabilityFamily,comprehension_monitoring_and_sensemaking_routines
family-M,CapabilityFamily,memory_encoding_retrieval_and_retention
family-S,CapabilityFamily,strategy_selection_practice_quality_and_revision
family-R,CapabilityFamily,self_regulation_feedback_use_and_help_seeking
family-T,CapabilityFamily,transfer_abstraction_and_independent_learning
A1,CapabilityNode,shared_task_entry_attention_anchoring_and_routine_persistence
A2,CapabilityNode,attention_planning_distraction_recovery_and_task_completion
A3,CapabilityNode,independent_task_structuring_and_attention_management
C1,CapabilityNode,understanding_checks_and_clarification_signaling
C2,CapabilityNode,explanation_monitoring_and_question_generation
C3,CapabilityNode,misunderstanding_diagnosis_and_precision_questioning
M1,CapabilityNode,encoding_through_chunking_representation_and_rehearsal
M2,CapabilityNode,retrieval_practice_spacing_awareness_and_cue_use
M3,CapabilityNode,durable_retention_planning_and_mixed_retrieval
M4,CapabilityNode,knowledge_consolidation_synthesis_and_long_horizon_retention
S1,CapabilityNode,productive_practice_routine_selection
S2,CapabilityNode,strategy_matching_worked_example_use_and_note_capture
S3,CapabilityNode,error_analysis_strategy_revision_and_resource_selection
S4,CapabilityNode,multi_strategy_planning_source_evaluation_and_self_directed_revision
R1,CapabilityNode,self_monitoring_help_seeking_and_feedback_acceptance
R2,CapabilityNode,goal_setting_progress_tracking_and_simple_reflection
R3,CapabilityNode,feedback_integration_frustration_regulation_and_persistence_decisions
R4,CapabilityNode,metacognitive_evaluation_and_adaptive_learning_decisions
T1,CapabilityNode,near_transfer_across_tasks_contexts_and_representations
T2,CapabilityNode,far_transfer_abstraction_and_independent_learning_orchestration
ltl-attachment-registry,ArtifactRegistry,learning-to-learn-core-support-artifact-registry
ltl-a3-planning-template,Artifact,Independent work structuring template
ltl-m4-retrieval-calendar,Artifact,Long-horizon retrieval calendar routine
ltl-s4-strategy-comparison-task,Artifact,Strategy and source comparison task
ltl-r4-decision-support,Artifact,Adaptive learning decision support
ltl-t2-far-transfer-probe,Artifact,Far-transfer and orchestration probe
ltl-upper-slice,RuntimeSlice,learning-to-learn-independent-learning-upper-band
ltl-rule-01,DecisionRule,remain_on_current_node_and_serve_bounded_support_asset
ltl-rule-02,DecisionRule,route_to_next_graph_successor_if_dependencies_resolve
ltl-rule-03,DecisionRule,serve_delayed_recheck_before_further_advancement
ltl-rule-04,DecisionRule,return_to_unmet_learning_to_learn_dependency
ltl-rule-05,DecisionRule,allow_entry_into_more_distant_transfer_or_independent_orchestration_work
ltl-rule-06,DecisionRule,pause_automatic_routing_and_request_human_review
